historical_match_id,role_id,consultant_id,match_score_assigned_by_human,was_shortlisted,was_selected,client_feedback_score,placement_success,reason_selected_or_rejected,skill_gap_notes,outcome_notes
HM-123,R-013,C-097,7.6,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",no Banking/FinTech domain background,
HM-124,R-013,C-098,6.9,Yes,No,,,Rejected - requires visa sponsorship; client cannot sponsor,missing required: Python; no Banking/FinTech domain background,
HM-125,R-013,C-231,6.8,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Python, Accessibility Testing; missing preferred: SQL, Defect Triage",
HM-126,R-013,C-099,5.6,No,No,,,"Not shortlisted - missing required: Accessibility Testing, Test Data Management","missing required: Accessibility Testing, Test Data Management; no Banking/FinTech domain background",
HM-127,R-013,C-232,3.9,No,No,,,"Not shortlisted - missing required: Python, Accessibility Testing, Test Data Management","missing required: Python, Accessibility Testing, Test Data Management; missing preferred: SQL, Defect Triage; no Banking/FinTech domain background",
HM-128,R-013,C-144,3.4,No,No,,,"Not shortlisted - missing required: AWS, Accessibility Testing, Test Data Management","missing required: AWS, Accessibility Testing, Test Data Management; no preferred-skill coverage; no Banking/FinTech domain background",
HM-129,R-013,C-132,3.3,No,No,,,"Not shortlisted - missing required: AWS, Python, Accessibility Testing, Test Data Management","missing required: AWS, Python, Accessibility Testing, Test Data Management; no preferred-skill coverage",
HM-130,R-013,C-134,2.7,No,No,,,"Not shortlisted - missing required: Python, Accessibility Testing, Test Data Management","missing required: Python, Accessibility Testing, Test Data Management; no preferred-skill coverage; no Banking/FinTech domain background; 1 yrs vs 4 required",
HM-131,R-014,C-158,7.8,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Stream Processing, SQL",
HM-132,R-014,C-160,7.5,Yes,Yes,2.5,No,Selected - Account manager pushed a familiar consultant from a previous project; skill coverage was weaker than alternates.,no Retail domain background,Placement ended early: client feedback 2.5/5.
HM-133,R-014,C-154,7.4,Yes,No,,,"Rejected - available 2026-09-17, after required start-by date 2026-09-07",no certifications on file (GCP Professional Data Engineer preferred); no Retail domain background,
HM-134,R-014,C-036,7.3,Yes,No,,,"Rejected - available 2026-09-11, after required start-by date 2026-09-07","missing preferred: GCP, Pipeline Orchestration; no Retail domain background",
HM-135,R-014,C-149,5.8,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Stream Processing, Data Modeling; no preferred-skill coverage; no Retail domain background",
HM-136,R-014,C-190,5.2,No,No,,,"Not shortlisted - missing required: Data Governance, Stream Processing, Data Modeling","missing required: Data Governance, Stream Processing, Data Modeling; missing preferred: ETL Development, Pipeline Orchestration; no Retail domain background",
HM-137,R-014,C-185,3.6,No,No,,,"Not shortlisted - missing required: Data Governance, Stream Processing, Data Quality, SQL","missing required: Data Governance, Stream Processing, Data Quality, SQL; no preferred-skill coverage; adjacent domain only (Telecom); 1 yrs vs 5 required",
HM-138,R-014,C-172,2.7,No,No,,,"Not shortlisted - missing required: Data Warehousing, Data Governance, Stream Processing, Data Quality, SQL, Data Modeling","missing required: Data Warehousing, Data Governance, Stream Processing, Data Quality, SQL, Data Modeling; no preferred-skill coverage; no Retail domain background",
HM-139,R-014,C-191,2.2,No,No,,,"Rejected - available 2026-09-09, after required start-by date 2026-09-07","missing required: Data Warehousing, Data Governance, Stream Processing, Data Quality, SQL, Data Modeling; missing preferred: ETL Development; no Retail domain background",
HM-140,R-014,C-165,2.0,No,No,,,"Not shortlisted - missing required: Data Warehousing, Data Governance, Stream Processing, Data Quality, SQL, Data Modeling","missing required: Data Warehousing, Data Governance, Stream Processing, Data Quality, SQL, Data Modeling; no preferred-skill coverage; no Retail domain background; 4 yrs vs 5 required",
HM-141,R-015,C-032,7.0,Yes,Yes,4.2,Yes,"Selected - Covers 5/6 required skills (spring boot, graphql, react, .net core, node.js); 6 yrs meets the 4-yr bar; prior client rating 4.8/5",missing required: Azure; missing preferred: Responsive UI; no Insurance domain background,Strong placement: client feedback 4.2/5; contract extended discussions underway.
HM-142,R-015,C-136,6.9,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Spring Boot, .NET Core; missing preferred: TypeScript, Responsive UI; adjacent domain only (FinTech/Public Sector/Energy)",
HM-143,R-015,C-144,6.7,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: .NET Core; missing preferred: C#; no Insurance domain background,
HM-144,R-015,C-138,6.6,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: GraphQL, Node.js; no Insurance domain background",
HM-145,R-015,C-143,5.6,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: .NET Core, Node.js; missing preferred: Responsive UI; no Insurance domain background; 1 yrs vs 4 required",
HM-146,R-015,C-134,5.0,No,No,,,"Not shortlisted - missing required: React, Node.js","missing required: React, Node.js; missing preferred: TypeScript, C#; no Insurance domain background; 1 yrs vs 4 required",
HM-147,R-015,C-231,4.2,No,No,,,"Not shortlisted - missing required: Spring Boot, Azure, GraphQL, React, .NET Core","missing required: Spring Boot, Azure, GraphQL, React, .NET Core; missing preferred: Responsive UI, C#; adjacent domain only (Banking/Logistics/Energy)",
HM-148,R-015,C-230,3.9,No,No,,,"Not shortlisted - missing required: Spring Boot, Azure, GraphQL, .NET Core, Node.js","missing required: Spring Boot, Azure, GraphQL, .NET Core, Node.js; missing preferred: Responsive UI, C#; adjacent domain only (Banking)",
HM-149,R-015,C-124,2.8,No,No,,,"Not shortlisted - missing required: Spring Boot, Azure, GraphQL, React, .NET Core, Node.js","missing required: Spring Boot, Azure, GraphQL, React, .NET Core, Node.js; no preferred-skill coverage; no certifications on file (Azure Developer (AZ-204) preferred); no Insurance domain background",
HM-150,R-015,C-234,2.7,No,No,,,"Not shortlisted - missing required: Spring Boot, Azure, GraphQL, React, .NET Core, Node.js","missing required: Spring Boot, Azure, GraphQL, React, .NET Core, Node.js; missing preferred: Responsive UI, C#; adjacent domain only (Banking); 2 yrs vs 4 required",
HM-151,R-016,C-162,8.4,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: Landing Zone Design,
HM-152,R-016,C-172,7.7,Yes,Yes,3.1,Partial,Selected - Client chose the candidate with the most polished interview presence over stronger technical coverage.,no Public Sector/Healthcare domain background,Placement struggled: client feedback 3.1/5.
HM-153,R-016,C-167,7.2,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: PowerShell, Bash; missing preferred: Infrastructure as Code; 5 yrs vs 6 required; communication score 2.1/5 vs high client emphasis",
HM-154,R-016,C-042,6.7,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: Bash; no Public Sector/Healthcare domain background; 5 yrs vs 6 required,
HM-155,R-016,C-163,6.5,Yes,No,,,Rejected - requires visa sponsorship; client cannot sponsor,"missing required: Landing Zone Design, Cost Optimization, Python",
HM-156,R-016,C-126,5.7,No,No,,,"Not shortlisted - missing required: PowerShell, Landing Zone Design, Cost Optimization","missing required: PowerShell, Landing Zone Design, Cost Optimization; no preferred-skill coverage",
HM-157,R-016,C-114,5.4,No,No,,,"Not shortlisted - missing required: Kubernetes, Landing Zone Design, Python","missing required: Kubernetes, Landing Zone Design, Python; missing preferred: IAM & Security; no Public Sector/Healthcare domain background",
HM-158,R-016,C-159,4.2,No,No,,,"Not shortlisted - missing required: Kubernetes, PowerShell, Landing Zone Design, Bash","missing required: Kubernetes, PowerShell, Landing Zone Design, Bash; missing preferred: IAM & Security; no Public Sector/Healthcare domain background",
HM-159,R-016,C-150,3.0,No,No,,,"Not shortlisted - missing required: Kubernetes, PowerShell, Landing Zone Design, Bash, Cost Optimization, Python","missing required: Kubernetes, PowerShell, Landing Zone Design, Bash, Cost Optimization, Python; no preferred-skill coverage; 2 yrs vs 6 required",
HM-160,R-016,C-153,1.7,No,No,,,"Not shortlisted - missing required: Kubernetes, PowerShell, Landing Zone Design, Bash, Cost Optimization, Python","missing required: Kubernetes, PowerShell, Landing Zone Design, Bash, Cost Optimization, Python; no preferred-skill coverage; no Public Sector/Healthcare domain background; 1 yrs vs 6 required",
HM-161,R-017,C-202,9.1,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",missing preferred: Scrum Facilitation,
HM-162,R-017,C-206,5.8,Yes,Yes,3.0,Partial,Selected - Selected for lowest bill rate; two shortlisted candidates had stronger skill and domain fit.,"missing required: Team Metrics & Reporting, SAFe Program Execution; missing preferred: Scrum Facilitation; no Logistics/Retail domain background","Placement struggled: client feedback 3.0/5; gaps surfaced in missing required: Team Metrics & Reporting, SAFe Program Execution. Contract completed but not extended."
HM-163,R-017,C-061,5.5,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Agile Coaching, Team Metrics & Reporting, SAFe Program Execution; missing preferred: Dashboarding; no Logistics/Retail domain background; 13 yrs vs 4 required",
HM-164,R-017,C-208,4.7,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Sprint Planning, Conflict Resolution, Team Metrics & Reporting; missing preferred: Dashboarding; no Logistics/Retail domain background; 1 yrs vs 4 required",
HM-165,R-017,C-195,4.6,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Agile Coaching, Conflict Resolution, SAFe Program Execution; missing preferred: Impediment Removal, Dashboarding; no Logistics/Retail domain background; 1 yrs vs 4 required",
HM-166,R-017,C-085,3.6,No,No,,,"Not shortlisted - missing required: Agile Coaching, Backlog Refinement, Conflict Resolution, Team Metrics & Reporting, SAFe Program Execution","missing required: Agile Coaching, Backlog Refinement, Conflict Resolution, Team Metrics & Reporting, SAFe Program Execution; missing preferred: Impediment Removal; no Logistics/Retail domain background",
HM-167,R-017,C-214,3.5,No,No,,,"Not shortlisted - missing required: Sprint Planning, Agile Coaching, Backlog Refinement, Conflict Resolution, Team Metrics & Reporting, SAFe Program Execution","missing required: Sprint Planning, Agile Coaching, Backlog Refinement, Conflict Resolution, Team Metrics & Reporting, SAFe Program Execution; missing preferred: Impediment Removal, Scrum Facilitation",
HM-168,R-017,C-088,3.4,No,No,,,"Not shortlisted - missing required: Sprint Planning, Agile Coaching, Backlog Refinement, Conflict Resolution, SAFe Program Execution","missing required: Sprint Planning, Agile Coaching, Backlog Refinement, Conflict Resolution, SAFe Program Execution; missing preferred: Impediment Removal, Dashboarding; no Logistics/Retail domain background",
HM-169,R-017,C-087,2.8,No,No,,,"Not shortlisted - missing required: Sprint Planning, Agile Coaching, Backlog Refinement, Conflict Resolution, Team Metrics & Reporting, SAFe Program Execution","missing required: Sprint Planning, Agile Coaching, Backlog Refinement, Conflict Resolution, Team Metrics & Reporting, SAFe Program Execution; no preferred-skill coverage; no Logistics/Retail domain background",
HM-170,R-017,C-083,1.4,No,No,,,"Not shortlisted - missing required: Sprint Planning, Agile Coaching, Backlog Refinement, Conflict Resolution, Team Metrics & Reporting, SAFe Program Execution","missing required: Sprint Planning, Agile Coaching, Backlog Refinement, Conflict Resolution, Team Metrics & Reporting, SAFe Program Execution; no preferred-skill coverage; no Logistics/Retail domain background; 1 yrs vs 4 required",
HM-171,R-018,C-053,9.4,Yes,Yes,3.3,Partial,"Selected - Covers all 5 required skills (python, feature engineering, gcp, prompt engineering, machine learning); direct healthcare domain experience; 13 yrs meets the 6-yr bar; prior client rating 4.6/5",None significant,Mixed placement: client feedback 3.3/5; delivery acceptable with coaching.
HM-172,R-018,C-181,8.9,Yes,No,,,Rejected - no production ML/LLM deployment record (research/analytics only),missing preferred: MLOps,
HM-173,R-018,C-186,8.8,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",None significant,
HM-174,R-018,C-182,8.3,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: GCP; missing preferred: R, MLOps; no certifications on file (AWS Machine Learning Specialty preferred)",
HM-175,R-018,C-147,7.8,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: Machine Learning; missing preferred: RAG Pipelines, R",
HM-176,R-018,C-185,5.2,No,No,,,Rejected - no production ML/LLM deployment record (research/analytics only),missing required: GCP; no preferred-skill coverage; no Healthcare/Public Sector domain background; 1 yrs vs 6 required,
HM-177,R-018,C-192,4.6,No,No,,,"Not shortlisted - missing required: Feature Engineering, Machine Learning","missing required: Feature Engineering, Machine Learning; missing preferred: MLOps; no Healthcare/Public Sector domain background; 1 yrs vs 6 required",
HM-178,R-018,C-187,3.9,No,No,,,Rejected - no production ML/LLM deployment record (research/analytics only),"missing required: Feature Engineering, GCP, Prompt Engineering; no preferred-skill coverage; no Healthcare/Public Sector domain background; 3 yrs vs 6 required",
HM-179,R-018,C-131,3.3,No,No,,,Rejected - no production ML/LLM deployment record (research/analytics only),"missing required: Python, Feature Engineering, GCP, Prompt Engineering, Machine Learning; no preferred-skill coverage; no certifications on file (AWS Machine Learning Specialty preferred)",
HM-180,R-018,C-132,2.1,No,No,,,Rejected - no production ML/LLM deployment record (research/analytics only),"missing required: Python, Feature Engineering, GCP, Prompt Engineering, Machine Learning; no preferred-skill coverage; no Healthcare/Public Sector domain background; 5 yrs vs 6 required",
HM-181,R-019,C-216,8.5,Yes,Yes,4.7,Yes,"Selected - Covers 5/6 required skills (roadmap support, user research, python, sql, cohort analysis); direct retail domain experience; 11 yrs meets the 3-yr bar; prior client rating 4.9/5",missing required: Requirements Elicitation; missing preferred: Dashboarding; 11 yrs vs 3 required,Strong placement: client feedback 4.7/5; contract extended discussions underway.
HM-182,R-019,C-220,7.9,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",missing preferred: A/B Testing; no certifications on file (Pragmatic Marketing Certified (PMC) preferred); no Telecom/Retail domain background,
HM-183,R-019,C-212,7.6,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",no Telecom/Retail domain background,
HM-184,R-019,C-223,7.4,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity","missing preferred: Funnel Analysis, Dashboarding; no certifications on file (Pragmatic Marketing Certified (PMC) preferred); no Telecom/Retail domain background; 2 yrs vs 3 required",
HM-185,R-019,C-065,7.0,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage","missing required: SQL; missing preferred: A/B Testing, Dashboarding; no certifications on file (Pragmatic Marketing Certified (PMC) preferred); no Telecom/Retail domain background",
HM-186,R-019,C-217,6.4,No,No,,,"Not shortlisted - missing required: Roadmap Support, User Research","missing required: Roadmap Support, User Research; missing preferred: Funnel Analysis; adjacent domain only (Logistics); 2 yrs vs 3 required",
HM-187,R-019,C-204,4.0,No,No,,,"Not shortlisted - missing required: Roadmap Support, User Research, Python, Requirements Elicitation, SQL","missing required: Roadmap Support, User Research, Python, Requirements Elicitation, SQL; no preferred-skill coverage; 10 yrs vs 3 required",
HM-188,R-019,C-090,3.8,No,No,,,"Not shortlisted - missing required: Roadmap Support, User Research, Python, Cohort Analysis","missing required: Roadmap Support, User Research, Python, Cohort Analysis; no preferred-skill coverage; no Telecom/Retail domain background",
HM-189,R-019,C-084,3.0,No,No,,,"Not shortlisted - missing required: Roadmap Support, User Research, Python, Requirements Elicitation, Cohort Analysis","missing required: Roadmap Support, User Research, Python, Requirements Elicitation, Cohort Analysis; no preferred-skill coverage; no Telecom/Retail domain background",
HM-190,R-019,C-201,1.8,No,No,,,"Not shortlisted - missing required: Roadmap Support, User Research, Python, Requirements Elicitation, SQL, Cohort Analysis","missing required: Roadmap Support, User Research, Python, Requirements Elicitation, SQL, Cohort Analysis; no preferred-skill coverage; no Telecom/Retail domain background; 2 yrs vs 3 required",
HM-191,R-020,C-231,9.5,Yes,Yes,3.3,Partial,"Selected - Covers all 4 required skills (aws, ui automation, mobile test automation, test automation framework design); direct energy domain experience; 11 yrs meets the 4-yr bar; prior client rating 4.8/5",None significant,Mixed placement: client feedback 3.3/5; delivery acceptable with coaching.
HM-192,R-020,C-074,8.1,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",no Energy domain background,
HM-193,R-020,C-227,7.9,Yes,No,,,"Shortlisted, not selected - edged out on domain familiarity",missing preferred: BDD; no Energy domain background,
HM-194,R-020,C-238,7.2,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: Mobile Test Automation; no Energy domain background; 15 yrs vs 4 required,
HM-195,R-020,C-226,6.4,Yes,No,,,"Shortlisted, not selected - edged out on required-skill coverage",missing required: Mobile Test Automation; missing preferred: CI Integration; no Energy domain background,
HM-196,R-020,C-225,6.3,No,No,,,Not shortlisted - missing required: Mobile Test Automation,missing required: Mobile Test Automation; no Energy domain background; 3 yrs vs 4 required,
HM-197,R-020,C-233,5.7,No,No,,,Not shortlisted - missing required: Test Automation Framework Design,missing required: Test Automation Framework Design; missing preferred: BDD; no Energy domain background; 2 yrs vs 4 required,
HM-198,R-020,C-136,4.8,No,No,,,"Not shortlisted - missing required: AWS, Mobile Test Automation, Test Automation Framework Design","missing required: AWS, Mobile Test Automation, Test Automation Framework Design; no preferred-skill coverage",
HM-199,R-020,C-112,4.5,No,No,,,"Not shortlisted - missing required: UI Automation, Test Automation Framework Design","missing required: UI Automation, Test Automation Framework Design; no preferred-skill coverage; no certifications on file (AWS Developer Associate preferred); no Energy domain background",
HM-200,R-020,C-110,3.9,No,No,,,"Not shortlisted - missing required: UI Automation, Test Automation Framework Design","missing required: UI Automation, Test Automation Framework Design; no preferred-skill coverage; no Energy domain background; 1 yrs vs 4 required",
